,season,pday,count
488,1975,31,9
489,1975,32,9
490,1975,33,9
491,1975,34,9
492,1975,35,9
493,1975,36,9
494,1975,37,9
495,1975,38,9
496,1976,1,9
497,1976,2,9
498,1976,3,9
499,1976,4,9
500,1976,5,9
501,1976,6,9
502,1976,7,9
503,1976,8,9
504,1976,9,9
505,1976,10,9
506,1976,11,9
507,1976,12,9
508,1976,13,9
509,1976,14,9
510,1976,15,9
511,1976,16,9
512,1976,17,9
513,1976,18,9
514,1976,19,9
515,1976,20,9
516,1976,21,9
517,1976,22,9
518,1976,23,9
519,1976,24,9
520,1976,25,9
521,1976,26,9
522,1976,27,9
523,1976,28,9
524,1976,29,9
525,1976,30,9
526,1976,31,9
527,1976,32,9
528,1976,33,9
529,1976,34,9
530,1977,1,9
531,1977,2,9
532,1977,3,9
533,1977,4,9
534,1977,5,9
535,1977,6,9
536,1977,7,9
537,1977,8,9
538,1977,9,9
539,1977,10,9
540,1977,11,9
541,1977,12,9
542,1977,13,9
543,1977,14,9
544,1977,15,9
545,1977,16,9
546,1977,17,9
547,1977,18,9
548,1977,19,9
549,1977,20,9
550,1977,21,9
551,1977,22,9
552,1977,23,9
553,1977,24,9
554,1977,25,9
555,1977,26,9
556,1977,27,9
557,1977,28,9
558,1977,29,9
559,1977,30,9
560,1977,31,9
561,1977,32,9
562,1977,33,9
563,1977,34,9
564,1978,1,9
565,1978,2,9
566,1978,3,9
567,1978,4,9
568,1978,5,9
569,1978,6,9
570,1978,7,9
571,1978,8,9
572,1978,9,9
573,1978,10,9
574,1978,11,9
575,1978,12,9
576,1978,13,9
577,1978,14,9
578,1978,15,9
579,1978,16,9
580,1978,17,9
581,1978,18,9
582,1978,19,9
583,1978,20,9
584,1978,21,9
585,1978,22,9
586,1978,23,9
587,1978,24,9
588,1978,25,9
589,1978,26,9
590,1978,27,9
591,1978,28,9
592,1978,29,9
593,1978,30,9
594,1978,31,9
595,1978,32,9
596,1978,33,9
597,1978,34,9
598,1979,1,9
599,1979,2,9
600,1979,3,9
601,1979,4,9
602,1979,5,9
603,1979,6,9
604,1979,7,9
605,1979,8,9
606,1979,9,9
607,1979,10,9
608,1979,11,9
609,1979,12,9
610,1979,13,9
611,1979,14,9
612,1979,15,9
613,1979,16,9
614,1979,17,9
615,1979,18,9
616,1979,19,9
617,1979,20,9
618,1979,21,9
619,1979,22,9
620,1979,23,9
621,1979,24,9
622,1979,25,9
623,1979,26,9
624,1979,27,9
625,1979,28,9
626,1979,29,9
627,1979,30,9
628,1979,31,9
629,1979,32,9
630,1979,33,9
631,1979,34,9
632,1980,1,9
633,1980,2,9
